G16508	Anr55-2
G16502	Anr55-3
G23547	Anr60-1
G22039	Anr60-2
G11885	Anr63-1
G3578	Anr63-2
G3567	Anr63-3
G14541	Anr63-4
G25579	Anr65
G792	Anr66
G12958	Anra2
G20491	Ans1a-1
G30158	Ans1a-2
G5689	Ans1b
G8384	Anta-1
G8607	Anta-2
G33169	Antr2
G13229	Anx13
G2707	Anxa4-1
G3379	Anxa4-2
G6858	Anxa6
G26210	Anxa7-1
G417	Anxa7-2
G369	Anxa7-3
G3378	Anxa7-4
G1498	Anxa7-5
G372	Anxa7-6
G3376	Anxa7-7
G22386	Aoah
G13812	Aoc1
G17132	Aoc3-1
G28001	Aoc3-2
G15047	Aof-1
G15046	Aof-2
G15045	Aof-3
G12313	Aofa-1
G1777	Aofa-2
G18153	Aosl-1
G10929	Aosl-10
G10327	Aosl-11
G10328	Aosl-12
G10934	Aosl-13
G10932	Aosl-14
G10933	Aosl-15
G32293	Aosl-16
G18150	Aosl-2
G18144	Aosl-3
G18140	Aosl-4
G18148	Aosl-5
G18145	Aosl-6
G18146	Aosl-7
G27073	Aosl-8
G10931	Aosl-9
G6065	Aox
G30165	Aoxd
G2236	Ap1ar
G2030	Ap1m1
G16570	Ap1s2
G5214	Ap2a2
G35149	Ap2b1
G20683	Ap2m1
G12966	Ap2s1
G11143	Ap3b2
G2976	Ap3d1
G27718	Ap3m1
G9339	Ap3s1
G20461	Ap4a
G3397	Ap4at
G34798	Ap4b1
G9160	Ap4e1
G12742	Ap4m
G13714	Ap4s1
G13364	Ap5b1
G11204	Ap5m1
G14522	Ap5s1
G2395	Ap5z1
G11486	Apba2
G23099	Apbp2-1
G83	Apbp2-2
G9106	Apc
G11865	Apc1-1
G11866	Apc1-2
G26757	Apc10
G10425	Apc11
G27395	Apc13
G26029	Apc15
G2872	Apc16
G16292	Apc4
G23893	Apc5
G23959	Apc7
G23665	Apcd1
G27897	Apd4
G29639	Apeh-1
G29637	Apeh-2
G19380	Apex1
G29399	Apex2
G14300	APGWamides-NP
G6129	Aph1
G4455	Api5
G17835	Apj-1
G22724	Apj-2
G7694	Apja-1
G8038	Apja-2
G22894	Apkc
G13034	Aplf-1
G32098	Aplf-2
G10455	Aplp-1
G2140	Aplp-2
G2143	Aplp-3
G2138	Aplp-4
G33234	Aplp-5
G12845	Aply
G28394	Apmap-1
G10364	Apmap-2
G3426	Apn1
G17390	Apoa-1
G22456	Apoa-2
G12735	Apoa-3
G2454	Apob
G9711	Apod-1
G26745	Apod-2
G26718	Apod-3
G20969	Apod-4
G20965	Apod-5
G21127	Apod-6
G1857	Apod-7
G35221	Apod-8
G18802	Apol3-1
G18821	Apol3-2
G18803	Apol3-3
G947	Apra
G22320	Apt
G13951	Aptx
G1129	Aqp
G6296	Aqp1
G11139	Aqp10
G31512	Aqp11-1
G32029	Aqp11-2
G23900	Aqp4-1
G5302	Aqp4-2
G20854	Aqp5-1
G15755	Aqp5-2
G15756	Aqp5-3
G1136	Aqp8-1
G1133	Aqp8-2
G1131	Aqp8-3
G1132	Aqp8-4
G1620	Aqr-1
G1625	Aqr-2
G1630	Aqr-3
G19694	Ar-1
G1585	Ar-2
G1586	Ar-3
G15805	Ar13a
G18568	Ar13b
G10436	Ar19a
G21847	Ar2bp
G1776	Ar6p1
G22270	Ar6p4
G1417	Araid
G24952	Arap1
G24953	Arap2
G14714	Arat1-1
G14715	Arat1-2
G1765	Arc1a
G6957	Arch
G19360	Ard17-1
G11783	Ard17-10
G11779	Ard17-11
G11777	Ard17-12
G4240	Ard17-13
G19331	Ard17-2
G28491	Ard17-3
G10429	Ard17-4
G11784	Ard17-5
G11782	Ard17-6
G11778	Ard17-7
G11806	Ard17-8
G12791	Ard17-9
G11612	Arel1
G685	Arf-1
G3216	Arf-2
G3219	Arf-3
G3217	Arf-4
G3215	Arf-5
G22922	Arf1-1
G784	Arf1-2
G785	Arf1-3
G787	Arf1-4
G4554	Arf1-5
G786	Arf2-1
G34817	Arf2-2
G29686	Arf4-1
G13595	Arf4-2
G15808	Arf4-3
G33284	Arf4-4
G4232	Arf6
G1618	Arfg1
G19449	Arfg2
G26172	Arfp2
G3250	Arfrp
G11111	Arg33
G4458	Arg39
G13546	Argi
G15839	Argla
G18017	Arha
G29444	Arhg3
G15406	Arhg4
G16264	Arhg7
G17229	Arhga-1
G21077	Arhga-2
G26609	Arhgc
G27604	Arhgh-1
G27607	Arhgh-2
G27606	Arhgh-3
G20534	Arhgq
G12015	Ari1-1
G12013	Ari1-2
G26904	Ari1l-1
G10397	Ari1l-2
G29674	Ari2-1
G33971	Ari2-2
G29191	Ari3-1
G29175	Ari3-2
G10480	Ari4b
G29420	Ari9
G34548	ARID2-TF
G10894	ARID3A-ARID3B-TF
G16421	ARID5B-TF
G28582	Arip4-1
G28573	Arip4-2
G28585	Arip4-3
G28580	Arip4-4
G28571	Arip4-5
G28568	Arip4-6
G4176	Arl1-1
G31649	Arl1-2
G19474	Arl11
G13015	Arl15
G3184	Arl16
G10483	Arl2
G27795	Arl3
G637	Arl4a
G34860	Arl5b
G31092	Arl6
G29324	Arl8a
G20447	Arly
G1678	Armc1
G17736	Armc2
G26043	Armc3
G23483	Armc5
G3439	Armc7
G27491	Armc8
G22430	Armc9
G3048	Armd1
G14756	Armd3
G13162	Armt1
G28434	Armx1
G11460	ARNT-ARNT2-TF
G4288	ARNTL-1-TF
G4289	ARNTL-2-TF
G359	Aros
G13096	Arp10
G11327	Arp2
G26196	Arp3
G25727	Arp5
G18383	Arp6-1
G33729	Arp6-2
G30691	Arp8
G31680	Arpc2
G23530	Arpc3
G29411	Arpc4
G25627	Arpc5
G13039	Arpin
G16201	Arrb1-1
G35288	Arrb1-2
G16200	Arrb2
G10140	Arrd2-1
G11970	Arrd2-2
G11971	Arrd2-3
G25354	Arrd3-1
G23637	Arrd3-2
G10379	Arrd3-3
G10766	Arrd3-4
G10225	Arrd3-5
G11786	Arrd3-6
G180	Arrd3-7
G25118	Arsb-1
G25119	Arsb-2
G25150	Arsb-3
G20362	Arsb-4
G20365	Arsb-5
G10879	Arsb-6
G10882	Arsb-7
G10881	Arsb-8
G6738	Arsi
G10880	Arsj-1
G4945	Arsj-2
G4947	Arsj-3
G13190	Arsl
G12977	Arv1
G3713	Arvc
G15239	Arx-TF
G14063	As3mt-1
G14117	As3mt-2
G25771	Asah1
G4679	Asap1
G11228	Asatr-1
G11221	Asatr-2
G32794	Asb11
G3558	Asb13
G25293	Asb16
G12901	Asb3
G29414	Asb8-1
G839	Asb8-2
G14884	Ascc1
G941	Ascc2
G16970	Ascc3-1
G16972	Ascc3-2
G16966	Ascc3-3
G16992	ASCL1-1-TF
G16993	ASCL1-2-TF
G19078	ASCL4-TF
G16991	Ascl5-1
G13495	Asgl1
G32463	Asgr2
G11961	ASH1L-TF
G3294	Ash2l
G18868	Ashwn
G20795	Asi1b
G13535	Asi1c
G7842	Asi4b
G19374	Asic1-1
G25614	Asic1-2
G10347	Asic1-3
G25235	Asic2-1
G16295	Asic2-2
G27033	Asic3
G7847	Asic4-1
G7845	Asic4-2
G7846	Asic4-3
G7843	Asic4-4
G24032	Asm
G144	Asm3b-1
G2276	Asm3b-2
G14547	Asm3b-3
G24789	Asml-1
G13297	Asml-2
G225	Asna
G198	Asnd1
G32544	Asns
G8908	Aso-1
G12506	Aso-10
G10938	Aso-11
G10939	Aso-12
G10937	Aso-13
G10891	Aso-14
G10945	Aso-15
G10720	Aso-16
G32382	Aso-17
G32474	Aso-18
G32445	Aso-19
G8913	Aso-2
G32505	Aso-20
G32478	Aso-21
G32446	Aso-22
G32473	Aso-23
G32438	Aso-24
G31763	Aso-25
G35103	Aso-26
G34844	Aso-27
G9046	Aso-3
